,postal_code,Food_Services,Active_Life,Arts_and_Entertainment,Automotive,Beauty_and_Spas,Education,Event_Planning and Services,Financial_Services,Health_and_Medical,Home_Services,Hotels_and_Travel,Local_Services,Nightlife,Pets_Services,Professional_Services,Real_Estate,Restaurants,Shopping
0,10280,17.0,-2.0,1.0,0.0,6.0,1.0,2.0,1.0,6.0,3.0,5.0,3.0,9.0,-1.0,6.0,1.0,73.0,10.0
1,10301,9.0,-3.0,-3.0,7.0,13.0,1.0,3.0,1.0,-7.0,4.0,1.0,5.0,3.0,2.0,-2.0,2.0,14.0,19.0
2,10302,1.0,-1.0,-2.0,-6.0,3.0,2.0,-0.0,-2.0,1.0,-6.0,1.0,1.0,-1.0,-4.0,1.0,2.0,-11.0,-9.0
3,10303,8.0,1.0,3.0,-10.0,10.0,3.0,1.0,1.0,7.0,-12.0,5.0,6.0,-3.0,0.0,3.0,1.0,11.0,0.0
4,10304,1.0,-2.0,1.0,4.0,-5.0,-1.0,-2.0,1.0,-12.0,-1.0,3.0,1.0,-6.0,1.0,-4.0,-0.0,-4.0,-5.0
5,10305,0.0,0.0,-2.0,-3.0,3.0,0.0,-1.0,1.0,9.0,4.0,2.0,7.0,7.0,-1.0,5.0,3.0,-10.0,-3.0
6,10306,-9.0,-4.0,-1.0,1.0,-8.0,-4.0,-3.0,3.0,-2.0,-2.0,-0.0,-4.0,6.0,0.0,-0.0,1.0,-8.0,6.0
7,10307,2.0,3.0,-0.0,8.0,2.0,1.0,-1.0,0.0,8.0,1.0,2.0,3.0,-7.0,2.0,3.0,0.0,-7.0,0.0
8,10308,9.0,6.0,-0.0,-0.0,1.0,1.0,-5.0,2.0,16.0,1.0,4.0,0.0,4.0,3.0,-0.0,3.0,6.0,17.0
9,10309,-5.0,-9.0,1.0,-18.0,-6.0,-3.0,-7.0,-1.0,-4.0,-22.0,-1.0,-7.0,5.0,-5.0,-2.0,0.0,9.0,-11.0
10,10310,-4.0,-1.0,2.0,-12.0,-6.0,-0.0,-1.0,-1.0,-2.0,2.0,1.0,-2.0,-3.0,-1.0,-8.0,1.0,-6.0,3.0
11,10312,19.0,7.0,7.0,-0.0,10.0,-0.0,3.0,-1.0,-7.0,-3.0,6.0,2.0,12.0,-0.0,1.0,0.0,74.0,18.0
12,10314,1.0,1.0,1.0,6.0,-4.0,1.0,3.0,-2.0,-14.0,6.0,-7.0,-1.0,2.0,-1.0,-1.0,-1.0,3.0,-6.0
13,11354,-69.0,-2.0,-3.0,-5.0,-37.0,-1.0,-4.0,-1.0,-18.0,9.0,-6.0,-4.0,-14.0,-2.0,-11.0,0.0,-149.0,-49.0
14,11355,-2.0,3.0,-4.0,5.0,12.0,4.0,1.0,2.0,-1.0,6.0,2.0,3.0,-15.0,2.0,7.0,1.0,-48.0,28.0
15,11356,-3.0,-8.0,-1.0,-4.0,7.0,-1.0,-4.0,1.0,4.0,-8.0,-4.0,-1.0,-2.0,-1.0,-1.0,2.0,7.0,-5.0
16,11357,2.0,-2.0,-3.0,1.0,-7.0,-3.0,2.0,2.0,7.0,-3.0,-1.0,3.0,0.0,2.0,-0.0,1.0,29.0,9.0
17,11358,-13.0,-9.0,3.0,-14.0,-43.0,-3.0,-1.0,-5.0,-12.0,-10.0,2.0,-11.0,-8.0,-3.0,1.0,-4.0,-56.0,-26.0
18,11359,10.0,1.0,-3.0,2.0,3.0,-0.0,1.0,-0.0,0.0,0.0,3.0,3.0,3.0,-1.0,1.0,2.0,20.0,8.0
19,11360,9.0,-1.0,3.0,3.0,5.0,1.0,-1.0,-0.0,-11.0,1.0,3.0,4.0,2.0,1.0,3.0,-3.0,25.0,-15.0
20,11361,-24.0,-13.0,-2.0,-19.0,-42.0,-7.0,4.0,-6.0,-57.0,-13.0,-0.0,-15.0,3.0,-5.0,-10.0,-13.0,-39.0,-28.0
21,11362,10.0,-3.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-6.0,6.0,4.0,-2.0,8.0,-5.0,3.0,-2.0,19.0,4.0
22,11363,3.0,0.0,1.0,5.0,4.0,1.0,1.0,3.0,10.0,-0.0,0.0,2.0,2.0,-0.0,3.0,-1.0,16.0,6.0
23,11364,5.0,0.0,4.0,8.0,-1.0,-2.0,4.0,-0.0,-5.0,-2.0,4.0,-2.0,15.0,1.0,3.0,1.0,43.0,14.0
24,11365,-8.0,-1.0,1.0,1.0,-6.0,-3.0,1.0,-1.0,-3.0,-4.0,5.0,-7.0,1.0,-1.0,-4.0,-2.0,17.0,-1.0
25,11366,-21.0,-4.0,0.0,-2.0,-13.0,-2.0,0.0,-2.0,-9.0,-2.0,0.0,-8.0,3.0,-4.0,-1.0,-2.0,-34.0,-13.0
26,11367,8.0,7.0,-1.0,8.0,12.0,-2.0,1.0,-3.0,-2.0,-0.0,3.0,8.0,3.0,3.0,4.0,1.0,1.0,8.0
27,11368,14.0,-9.0,-4.0,4.0,7.0,1.0,-1.0,2.0,13.0,9.0,3.0,3.0,-5.0,3.0,1.0,0.0,2.0,9.0
28,11369,-3.0,5.0,2.0,4.0,9.0,2.0,3.0,1.0,11.0,1.0,-13.0,3.0,-7.0,3.0,2.0,1.0,-10.0,12.0
29,11370,11.0,6.0,8.0,7.0,-1.0,1.0,2.0,-1.0,3.0,9.0,3.0,3.0,6.0,1.0,2.0,-2.0,51.0,7.0
30,11372,-11.0,-1.0,1.0,6.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,4.0,-3.0,-1.0,3.0,0.0,-60.0,0.0
31,11373,-7.0,4.0,-3.0,14.0,-3.0,1.0,1.0,1.0,-1.0,7.0,0.0,7.0,3.0,1.0,3.0,2.0,6.0,-5.0
32,11374,10.0,3.0,3.0,6.0,1.0,-0.0,2.0,1.0,3.0,6.0,1.0,9.0,11.0,1.0,3.0,-1.0,49.0,3.0
33,11375,1.0,1.0,3.0,6.0,-11.0,-7.0,1.0,-5.0,-34.0,2.0,3.0,-2.0,16.0,2.0,-16.0,-9.0,10.0,2.0
34,11377,11.0,-1.0,5.0,-8.0,4.0,1.0,-0.0,-0.0,7.0,-5.0,1.0,-4.0,3.0,-5.0,3.0,0.0,34.0,8.0
35,11378,8.0,3.0,2.0,3.0,9.0,2.0,1.0,0.0,9.0,2.0,3.0,3.0,-2.0,2.0,-0.0,2.0,21.0,9.0
36,11379,3.0,5.0,2.0,2.0,6.0,1.0,0.0,0.0,14.0,-1.0,2.0,-4.0,7.0,1.0,3.0,0.0,32.0,5.0
37,11385,-3.0,-3.0,-3.0,-3.0,-3.0,-1.0,1.0,-0.0,0.0,-2.0,-1.0,-3.0,-2.0,-0.0,-2.0,-1.0,-9.0,-3.0
38,11411,6.0,5.0,-0.0,6.0,13.0,2.0,2.0,3.0,5.0,5.0,1.0,3.0,-3.0,3.0,3.0,2.0,-4.0,10.0
39,11412,-1.0,2.0,-4.0,12.0,4.0,1.0,0.0,0.0,15.0,6.0,2.0,2.0,-6.0,3.0,1.0,-0.0,-19.0,13.0
40,11413,-4.0,2.0,-1.0,5.0,4.0,-2.0,0.0,-2.0,7.0,8.0,-2.0,4.0,-6.0,3.0,-0.0,1.0,-25.0,-2.0
41,11414,-7.0,1.0,1.0,4.0,5.0,2.0,-4.0,-2.0,-8.0,-6.0,-3.0,2.0,2.0,-2.0,2.0,-0.0,24.0,-1.0
42,11415,2.0,3.0,-0.0,4.0,-8.0,-1.0,-1.0,-1.0,-16.0,-1.0,2.0,-7.0,2.0,-0.0,-23.0,0.0,27.0,9.0
43,11416,-3.0,-4.0,-4.0,-7.0,-6.0,-4.0,-5.0,-1.0,-5.0,-3.0,-5.0,-4.0,-2.0,-5.0,1.0,1.0,-17.0,-4.0
44,11417,-14.0,-6.0,1.0,-13.0,-10.0,-3.0,-3.0,-0.0,-0.0,-6.0,-3.0,-11.0,-13.0,-4.0,-5.0,-2.0,-36.0,-28.0
45,11418,-4.0,4.0,-1.0,-9.0,0.0,0.0,-3.0,-0.0,-10.0,-4.0,-1.0,-10.0,-10.0,-1.0,-2.0,-1.0,-12.0,-4.0
46,11419,0.0,2.0,-3.0,3.0,-11.0,-3.0,-0.0,-2.0,-6.0,5.0,-0.0,-1.0,-9.0,1.0,-1.0,0.0,-20.0,-17.0
47,11420,-2.0,-1.0,-6.0,0.0,11.0,-0.0,-2.0,-1.0,1.0,1.0,-6.0,3.0,-3.0,1.0,-1.0,-1.0,-16.0,7.0
48,11421,4.0,-1.0,-1.0,12.0,-1.0,2.0,-1.0,2.0,3.0,-0.0,4.0,0.0,-2.0,1.0,-2.0,0.0,-9.0,4.0
49,11422,-3.0,2.0,-4.0,11.0,-2.0,0.0,2.0,-0.0,4.0,3.0,-0.0,5.0,5.0,0.0,2.0,0.0,-18.0,-8.0
50,11423,0.0,3.0,-3.0,-5.0,-0.0,-0.0,1.0,-1.0,-7.0,-2.0,1.0,-1.0,0.0,1.0,0.0,2.0,-2.0,-2.0
51,11426,-1.0,1.0,-1.0,4.0,2.0,1.0,3.0,1.0,2.0,-1.0,0.0,1.0,-1.0,-0.0,4.0,-2.0,-16.0,4.0
52,11427,11.0,-1.0,-1.0,5.0,11.0,1.0,-1.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,-1.0,12.0,4.0
53,11428,-3.0,2.0,-1.0,-2.0,-4.0,3.0,2.0,-3.0,5.0,2.0,-2.0,-0.0,-5.0,1.0,1.0,-1.0,-22.0,-1.0
54,11429,4.0,3.0,-2.0,-2.0,5.0,2.0,-1.0,2.0,5.0,5.0,-2.0,2.0,-6.0,2.0,0.0,1.0,-33.0,5.0
55,11432,-1.0,-0.0,-7.0,-6.0,-34.0,-2.0,3.0,-6.0,-17.0,4.0,-8.0,-7.0,-2.0,5.0,-2.0,-3.0,-22.0,-51.0
56,11433,-6.0,-0.0,-0.0,-5.0,-5.0,-0.0,1.0,0.0,-8.0,1.0,-0.0,-1.0,-1.0,1.0,-1.0,1.0,-23.0,1.0
57,11434,-5.0,-0.0,-0.0,-8.0,-7.0,1.0,-2.0,-1.0,5.0,0.0,-17.0,-7.0,-5.0,1.0,-1.0,2.0,-29.0,2.0
58,11435,3.0,4.0,-1.0,-11.0,-2.0,-2.0,3.0,-3.0,6.0,-0.0,-8.0,0.0,2.0,4.0,-3.0,-1.0,-31.0,3.0
59,11436,8.0,3.0,1.0,6.0,11.0,2.0,2.0,3.0,5.0,4.0,-3.0,6.0,-2.0,2.0,2.0,2.0,-1.0,10.0
60,10451,-19.0,-8.0,-4.0,-7.0,-16.0,-3.0,-0.0,-5.0,-21.0,-6.0,-7.0,-15.0,-6.0,1.0,-6.0,1.0,-45.0,-25.0
61,10452,5.0,-1.0,-1.0,-2.0,3.0,0.0,0.0,-3.0,1.0,-1.0,-2.0,-0.0,-9.0,1.0,-1.0,-1.0,1.0,1.0
62,10453,2.0,2.0,1.0,3.0,8.0,2.0,-0.0,3.0,10.0,3.0,1.0,5.0,-5.0,-1.0,-0.0,1.0,17.0,7.0
63,10454,-1.0,5.0,1.0,1.0,0.0,-1.0,3.0,1.0,3.0,-13.0,1.0,-8.0,3.0,-2.0,1.0,2.0,-7.0,5.0
64,10455,0.0,-3.0,3.0,-1.0,-6.0,2.0,-1.0,-4.0,-8.0,-1.0,2.0,2.0,6.0,1.0,1.0,-1.0,-18.0,-21.0
65,10456,9.0,4.0,4.0,1.0,3.0,-0.0,3.0,1.0,1.0,-1.0,2.0,3.0,5.0,-0.0,1.0,2.0,50.0,15.0
66,10457,13.0,1.0,1.0,1.0,-2.0,-0.0,-1.0,1.0,-7.0,3.0,1.0,4.0,1.0,-1.0,1.0,-2.0,25.0,9.0
67,10458,-26.0,-1.0,3.0,-2.0,-21.0,-3.0,-2.0,-2.0,-7.0,0.0,-3.0,-1.0,-5.0,-1.0,2.0,-1.0,-76.0,-32.0
68,10459,11.0,4.0,1.0,4.0,10.0,-2.0,1.0,0.0,-4.0,1.0,0.0,8.0,4.0,3.0,0.0,-1.0,31.0,12.0
69,10460,13.0,2.0,3.0,-4.0,-0.0,-0.0,0.0,-1.0,2.0,2.0,3.0,-1.0,14.0,-1.0,2.0,-1.0,44.0,2.0
70,10461,-22.0,-4.0,7.0,-21.0,-40.0,-3.0,1.0,-6.0,-47.0,-7.0,3.0,-3.0,-4.0,-2.0,-4.0,-1.0,-17.0,-17.0
71,10462,-7.0,-1.0,1.0,-5.0,-9.0,-1.0,1.0,-2.0,2.0,-6.0,2.0,-11.0,-9.0,2.0,6.0,-3.0,-37.0,-15.0
72,10463,-3.0,-8.0,2.0,-9.0,-12.0,1.0,1.0,-4.0,-10.0,-2.0,-1.0,-2.0,-11.0,-5.0,0.0,-5.0,-32.0,-3.0
73,10464,7.0,-7.0,-0.0,0.0,12.0,2.0,-0.0,2.0,11.0,2.0,3.0,6.0,-4.0,2.0,2.0,3.0,-9.0,9.0
74,10465,-3.0,4.0,-0.0,9.0,-3.0,2.0,-4.0,-1.0,5.0,2.0,2.0,-1.0,2.0,1.0,-2.0,0.0,-0.0,-3.0
75,10466,12.0,2.0,-5.0,-6.0,6.0,-1.0,0.0,1.0,13.0,1.0,-1.0,4.0,-1.0,2.0,1.0,-1.0,32.0,15.0
76,10467,7.0,4.0,4.0,5.0,3.0,1.0,-0.0,-1.0,-18.0,-4.0,6.0,7.0,10.0,0.0,-2.0,2.0,25.0,-3.0
77,10468,14.0,1.0,-1.0,3.0,15.0,-4.0,3.0,-1.0,1.0,1.0,7.0,11.0,2.0,1.0,-2.0,2.0,25.0,8.0
78,10469,-9.0,2.0,-4.0,-15.0,-1.0,-1.0,-0.0,1.0,-6.0,1.0,-2.0,-2.0,-9.0,-1.0,-3.0,1.0,-11.0,6.0
79,10470,14.0,6.0,4.0,2.0,9.0,2.0,3.0,2.0,8.0,4.0,4.0,7.0,-2.0,2.0,0.0,3.0,24.0,14.0
80,10471,7.0,3.0,-0.0,3.0,10.0,-3.0,3.0,-1.0,1.0,-1.0,3.0,-4.0,2.0,-1.0,4.0,-2.0,23.0,4.0
81,10472,11.0,-4.0,-2.0,-2.0,-4.0,-2.0,1.0,-1.0,-7.0,2.0,-0.0,-0.0,8.0,-0.0,-3.0,1.0,27.0,-8.0
82,10473,5.0,-1.0,-2.0,-1.0,11.0,0.0,1.0,3.0,7.0,-1.0,1.0,3.0,2.0,0.0,-0.0,-0.0,21.0,-12.0
83,10474,-13.0,3.0,0.0,7.0,5.0,1.0,0.0,3.0,-2.0,-4.0,3.0,1.0,-2.0,-0.0,0.0,1.0,-6.0,7.0
84,10475,14.0,4.0,2.0,-7.0,17.0,1.0,-0.0,-0.0,4.0,3.0,2.0,4.0,3.0,2.0,1.0,2.0,36.0,-21.0
85,11004,1.0,6.0,-1.0,5.0,6.0,1.0,2.0,3.0,-2.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,-4.0
86,11005,1.0,5.0,3.0,-3.0,7.0,1.0,-2.0,1.0,15.0,-5.0,-0.0,0.0,-7.0,-0.0,-2.0,1.0,-4.0,15.0
